sheet,corolla_id,fold_state,corolla_length_mm,corolla_width_obs_mm,corolla_area_obs_mm2,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,roi_source,match_iou,nectar_guide_px,has_nectar_guide,qc_flag
kozu1,1,opened_full,21.17,29.38,477.4,29.38,477.4,iphone,0.917,187,1,
kozu1,2,opened_full,22.52,28.36,481.7,28.36,481.7,iphone,0.954,804,1,
kozu1,3,opened_full,16.93,25.65,330.5,25.65,330.5,iphone,0.893,2641,1,
kozu1,4,opened_full,16.43,28.96,365.3,28.96,365.3,iphone,0.894,659,1,
kozu1,5,opened_full,15.83,23.11,289.9,23.11,289.9,iphone,0.928,80,0,
kozu1,6,opened_full,23.79,31.24,547.3,31.24,547.3,iphone,0.93,892,1,
kozu1,7,opened_full,21.42,30.56,506.9,30.56,506.9,iphone,0.915,2582,1,
kozu1,8,opened_full,24.21,31.24,580.0,31.24,580.0,iphone,0.898,519,1,
kozu1,9,opened_full,20.15,27.86,407.6,27.86,407.6,iphone,0.913,142,0,
kozu1,10,opened_full,18.97,27.86,411.4,27.86,411.4,iphone,0.888,520,1,
kozu2,1,opened_full,26.25,41.66,768.6,41.66,768.6,iphone,0.888,593,1,
kozu2,2,opened_full,26.08,41.74,808.3,41.74,808.3,iphone,0.913,26,0,
kozu2,3,opened_full,25.74,40.72,718.7,40.72,718.7,iphone,0.916,1144,1,
kozu2,4,opened_full,22.78,43.18,718.0,43.18,718.0,iphone,0.917,0,0,
kozu2,5,opened_full,32.34,45.89,1080.1,45.89,1080.1,iphone,0.914,369,1,
kozu2,6,opened_full,32.43,49.7,1092.3,49.7,1092.3,iphone,0.931,339,1,
kozu2,7,opened_full,26.84,41.49,824.2,41.49,824.2,iphone,0.9,1444,1,
kozu2,8,opened_full,26.5,43.43,800.5,43.43,800.5,iphone,0.923,799,1,
kozu2,9,opened_full,27.09,43.69,1005.7,43.69,1005.7,iphone,0.796,2132,1,
niijiama1-2,1,folded_half,32.77,23.54,577.9,47.08,1155.8,iphone,0.919,2443,1,
niijiama1-2,2,folded_half,33.95,25.57,679.2,51.14,1358.4,iphone,0.923,4012,1,
niijiama1-2,3,folded_half,31.67,24.64,581.7,49.28,1163.4,iphone,0.938,26118,1,
niijiama1-2,4,folded_half,27.77,23.62,544.6,47.24,1089.2,iphone,0.838,67,0,
niijiama1-2,5,folded_half,28.7,26.59,575.2,53.18,1150.4,iphone,0.944,11,0,
niijiama1-2,6,folded_half,31.33,25.99,610.6,51.98,1221.2,iphone,0.948,18,0,
niijiama1-2,7,folded_half,29.72,25.15,628.4,50.3,1256.8,iphone,0.882,24,0,
niijiama1-2,8,folded_half,27.86,25.23,525.2,50.46,1050.4,iphone,0.911,17,0,
niijiama1-2,9,folded_half,25.74,21.42,432.2,42.84,864.4,iphone,0.899,0,0,
niijiama1-2,10,folded_half,32.77,30.48,744.8,60.96,1489.6,iphone,0.906,25670,1,
niijiama1-2,11,folded_half,29.72,24.55,565.9,49.1,1131.8,iphone,0.939,15187,1,
niijiama1-2,12,folded_half,26.33,25.4,535.9,50.8,1071.8,iphone,0.919,2009,1,
niijiama1-2,13,folded_half,24.98,23.45,450.1,46.9,900.2,iphone,0.929,5756,1,
niijiama1-2,14,folded_half,28.53,23.37,507.3,46.74,1014.6,iphone,0.937,13206,1,
niijiama1-2,15,folded_half,27.26,22.44,472.3,44.88,944.6,iphone,0.881,20806,1,
niijiama1-2,16,folded_half,24.81,22.69,449.4,45.38,898.8,iphone,0.94,12889,1,
niijiama1-2,17,opened_full,32.0,51.39,1378.9,51.39,1378.9,iphone,0.809,34832,1,
niijiama2-4,1,folded_half,25.15,20.4,435.1,40.8,870.2,iphone,0.931,597,1,
niijiama2-4,2,folded_half,24.81,19.98,365.5,39.96,731.0,iphone,0.888,92,0,
niijiama2-4,3,folded_half,25.32,17.1,361.7,34.2,723.4,iphone,0.933,9,0,
niijiama2-4,4,folded_half,24.98,19.56,401.2,39.12,802.4,iphone,0.943,29,0,
